CTDID,Latitude,Longitude,SiteID,Sub_region,Zone,Lat,Lon,number,Lat_diff,Lon_diff
WS15264_20,24.7464033333333,-80.8325716666667,12,MK,Offshore,24.7139417751938,-80.8319524922481,44,0.032461558139502,0.000619174418631
WS16130_31,24.5506683333333,-81.430485,20,LK,Mid channel,24.5706890833333,-81.4188839481481,45,0.020020750000033,0.011601051851855
WS16130_33,24.4510166666667,-81.3616583333333,21.5,LK,Oceanic,24.482666746124,-81.3908765445736,43,0.031650079457332,0.029218211240348
WS16263_46,25.295112,-80.1636131666667,EK_IN,BB,Inshore,25.3334176885965,-80.2219297763158,38,0.038305688596491,0.058316609649083
WS16263_48,25.3344936666667,-80.2209275,EK_OFF,BB,Offshore,25.2955528220721,-80.1645815630631,37,0.038940844594627,0.056345936936936
WS17282_27,24.5764316666667,-81.18004,18,LK,Offshore,24.5965502446809,-81.1832911861702,47,0.020118578014156,0.003251186170203
WS18120_26,24.41835,-81.4182166666667,20,LK,Mid channel,24.5706890833333,-81.4188839481481,45,0.152339083333331,0.000667281481455
WS18173_3,25.5815833333333,-80.0842833333333,3,BB,Offshore,25.6440444402174,-80.0831309655797,46,0.06246110688409,0.001152367753591
WS21278_12,24.8700666666667,-80.54595,UK_MID,UK,Mid channel,24.9191096351351,-80.5463570405405,37,0.049042968468442,0.000407040540523
WS14335_19,24.59245,-80.91053,15.5,MK,Oceanic,24.5923250106838,-80.9896751517094,39,0.000124989316234,0.079145151709412
WS16319_40,25.11,-80.348,4,UK,Inshore,25.1080325952381,-80.3782458714286,35,0.001967404761903,0.030245871428576
WS17282_1,25.6445833333333,-80.0441666666667,1,BB,Inshore,25.6446141865942,-80.1225548061594,46,3.09E-05,0.078388139492716
WS17282_2,25.6414166666667,-80.1401333333333,2,BB,Mid channel,25.64159615625,-80.10525084625,40,0.000179489583296,0.034882487083294
WS18173_1,25.6463,-80.0830333333333,1,BB,Inshore,25.6446141865942,-80.1225548061594,46,0.001685813405803,0.03952147282611
