"Zone","Sub_region","term","estimate","std.error","statistic","p.value","r.squared","adj.r.squared","sigma","statistic.1","p.value.1","df","logLik","AIC","BIC","deviance","df.residual","nobs"
"Inshore","BB","DIC_umol_kg",0.646222135788355,0.0416045064647054,15.5325033439964,2.77521467786961e-26,0.744031508776351,0.740947551050765,34.2671653560459,241.258660131258,2.77521467786994e-26,1,-420.003770235234,846.007540470469,853.33549423994,97461.8055877033,83,85
"Inshore","UK","DIC_umol_kg",0.56537128637834,0.0297562724807844,19.0000708839939,1.91916028240128e-35,0.778018530018483,0.77586337011575,33.998660683331,361.002693596795,1.91916028240071e-35,1,-518.2426183635,1042.485236727,1050.44711777747,119058.619610809,103,105
"Inshore","MK","DIC_umol_kg",0.797045413860193,0.0331651560529922,24.0326146087373,2.69971239908874e-48,0.824427818630022,0.823000402521323,44.8061542698879,577.566564932093,2.69971239908851e-48,1,-651.652418040213,1309.30483608043,1317.78977729233,246933.74963621,123,125
"Inshore","LK","DIC_umol_kg",0.877018593287782,0.0390636242615113,22.451029822952,2.16163148543398e-46,0.79622422125449,0.794644564054912,45.4002034434696,504.048740111082,2.16163148543377e-46,1,-684.705908454221,1375.41181690844,1384.03740887805,265892.022979388,129,131
"Mid channel","BB","DIC_umol_kg",0.488245382241798,0.0515108188769639,9.47850166016571,1.43959508906316e-14,0.538485495873359,0.532491801014571,15.7081944454427,89.8419937217638,1.43959508906329e-14,1,-328.663686829875,663.327373659749,670.43571721715,18999.5477006595,77,79
"Mid channel","UK","DIC_umol_kg",0.32214518823852,0.0557953632184212,5.77369103194872,1.88797367389445e-07,0.319503002660429,0.309918537909168,18.3302044626573,33.335508132405,1.8879736738945e-07,1,-314.892724625837,635.785449251673,642.656827575119,23855.7440906403,71,73
"Mid channel","MK","DIC_umol_kg",0.79480072512301,0.035294371341968,22.5191920100281,8.0683513672607e-46,0.802250862561389,0.80066886946188,28.4074663874535,507.114008784514,8.06835136726105e-46,1,-604.222041516411,1214.44408303282,1222.9766442922,100873.018319287,125,127
"Mid channel","LK","DIC_umol_kg",0.800227670479996,0.0356928732107373,22.419816576696,7.60881596969181e-47,0.79201074685072,0.790435070690498,26.6996858634151,502.648175332692,7.60881596969116e-47,1,-629.273566855526,1264.54713371105,1273.24065311091,94099.2657270661,132,134
"Offshore","BB","DIC_umol_kg",0.498832908233364,0.0657718405400073,7.58429297610939,4.62495757939735e-11,0.412276960677188,0.405109606539105,12.4097873653618,57.5214999474621,4.62495757939739e-11,1,-329.731518677234,665.463037354468,672.755487750998,12628.2314411865,82,84
"Offshore","UK","DIC_umol_kg",0.426019249090808,0.0495902209024984,8.59079151771523,6.09904382331627e-14,0.399356171181329,0.393944965516296,11.7535331555434,73.8016989008471,6.09904382331792e-14,1,-437.780488380218,881.560976760436,889.743140216573,15334.1551218689,111,113
"Offshore","MK","DIC_umol_kg",0.684702349774994,0.0386989101394662,17.693065445704,5.86531406067342e-36,0.713013187992736,0.710735514881567,14.4704897272993,313.044564865965,5.86531406067351e-36,1,-522.646494606147,1051.29298921229,1059.84908000405,26383.7791914321,126,128
"Offshore","LK","DIC_umol_kg",0.50834240201359,0.0402504572838721,12.6294814100728,5.64736641318409e-26,0.493050778224131,0.489959624432815,12.5206755578345,159.503800687374,5.64736641318316e-26,1,-654.083023124409,1314.16604624882,1323.50200961389,25709.8398936268,164,166
"Oceanic","UK","DIC_umol_kg",0.329249072975186,0.0878034857174353,3.74984057050717,0.000659097470516165,0.292570176939339,0.271763417437555,11.3087783721249,14.0613043042215,0.000659097470516179,1,-137.37378951015,280.7475790203,285.498135835669,4348.20792117454,34,36
"Oceanic","MK","DIC_umol_kg",0.392188037711819,0.0509492028250523,7.69762853912555,3.87911373715889e-11,0.434876840555003,0.427537578744029,9.54285154262719,59.2534851263592,3.87911373715998e-11,1,-289.290863340239,584.581726680478,591.69007023788,7012.0831984759,77,79
"Oceanic","LK","DIC_umol_kg",0.380900847176204,0.048067448358385,7.92429929577819,1.05885074477542e-11,0.43669619413913,0.429741826165539,8.8587741918334,62.7945193290707,1.05885074477542e-11,1,-297.816550315602,601.633100631203,608.889622454593,6356.70829473337,81,83
