Zone,Location,term,estimate,SE,statistic,p.value,r.squared,adj.r.squared,p.value.1,df,df.residual
Inshore,BB,Intercept,1011.43,83.64,12.09,2.20E-19,0.78,0.77,1.72E-26,1,76
Inshore,BB,Slope,0.66,0.04,16.28,1.72E-26,0.78,0.77,1.72E-26,1,76
Inshore,UK,Intercept,1184.37,58.55,20.23,6.07E-37,0.81,0.81,2.72E-37,1,99
Inshore,UK,Slope,0.58,0.03,20.43,2.72E-37,0.81,0.81,2.72E-37,1,99
Inshore,MK,Intercept,716.58,70.15,10.21,8.01E-18,0.82,0.82,3.79E-45,1,115
Inshore,MK,Slope,0.81,0.03,23.18,3.79E-45,0.82,0.82,3.79E-45,1,115
Inshore,LK,Intercept,589.73,76.55,7.70,4.20E-12,0.81,0.80,1.49E-44,1,120
Inshore,LK,Slope,0.86,0.04,22.33,1.49E-44,0.81,0.80,1.49E-44,1,120
Mid channel,BB,Intercept,1377.27,95.91,14.36,1.09E-22,0.61,0.60,5.69E-16,1,71
Mid channel,BB,Slope,0.49,0.05,10.43,5.69E-16,0.61,0.60,5.69E-16,1,71
Mid channel,UK,Intercept,1702.23,103.58,16.43,7.78E-25,0.40,0.39,1.09E-08,1,65
Mid channel,UK,Slope,0.33,0.05,6.55,1.09E-08,0.40,0.39,1.09E-08,1,65
Mid channel,MK,Intercept,730.73,74.99,9.74,9.39E-17,0.80,0.80,9.56E-43,1,116
Mid channel,MK,Slope,0.80,0.04,21.75,9.56E-43,0.80,0.80,9.56E-43,1,116
Mid channel,LK,Intercept,740.82,74.36,9.96,1.68E-17,0.79,0.79,7.85E-44,1,123
Mid channel,LK,Slope,0.79,0.04,21.68,7.85E-44,0.79,0.79,7.85E-44,1,123
Offshore,BB,Intercept,1292.34,139.46,9.27,4.12E-14,0.44,0.44,2.70E-11,1,76
Offshore,BB,Slope,0.53,0.07,7.80,2.70E-11,0.44,0.44,2.70E-11,1,76
Offshore,UK,Intercept,1514.83,96.82,15.65,7.35E-29,0.44,0.43,1.91E-14,1,102
Offshore,UK,Slope,0.42,0.05,8.93,1.91E-14,0.44,0.43,1.91E-14,1,102
Offshore,MK,Intercept,948.36,79.35,11.95,5.26E-22,0.73,0.73,1.94E-35,1,117
Offshore,MK,Slope,0.70,0.04,17.97,1.94E-35,0.73,0.73,1.94E-35,1,117
Offshore,LK,Intercept,1345.68,81.40,16.53,4.94E-36,0.51,0.50,1.22E-25,1,155
Offshore,LK,Slope,0.50,0.04,12.65,1.22E-25,0.51,0.50,1.22E-25,1,155
Oceanic,UK,Intercept,1715.21,150.07,11.43,1.20E-12,0.39,0.37,0.000107,1,31
Oceanic,UK,Slope,0.33,0.07,4.44,0.000107,0.39,0.37,0.000107,1,31
Oceanic,MK,Intercept,1618.69,104.08,15.55,1.02E-24,0.43,0.42,2.74E-10,1,72
Oceanic,MK,Slope,0.37,0.05,7.33,2.74E-10,0.43,0.42,2.74E-10,1,72
Oceanic,LK,Intercept,1650.51,102.04,16.18,3.65E-26,0.41,0.40,4.66E-10,1,75
Oceanic,LK,Slope,0.36,0.05,7.16,4.66E-10,0.41,0.40,4.66E-10,1,75
