"Zone","Sub_region","dTA_M","dTA_sd","dDIC_M","dDIC_sd","dnTA_M","dnTA_sd","dnDIC_M","dnDIC_sd","dpCO2_M","dpCO2_sd","dpH_M","dpH_sd","dAra_M","dAra_sd","n()"
"Inshore","BB",-7.449,48.407,7.393,68.17,8.158,70.889,21.456,90.758,23.937,78.026,-0.012,0.059,-0.169,0.408,12
"Inshore","UK",-2.67,49.847,-6.235,89.489,-2.493,71.969,-5.41,111.14,3.066,96.558,0.008,0.078,0.02,0.532,12
"Inshore","MK",-33.289,78.892,-34.271,91.115,-40.593,122.28,-40.075,125.899,-8.859,62.613,0.009,0.058,-0.034,0.441,12
"Inshore","LK",-83.178,75.3,-53.231,77.907,-95.185,92.807,-62.853,88.756,29.806,61.565,-0.031,0.052,-0.371,0.38,12
"Mid channel","BB",-3.274,14.989,3.872,19.999,-4.14,16.504,2.911,24.077,8.145,32.28,-0.005,0.026,-0.088,0.187,12
"Mid channel","UK",0.467,9.663,-5.175,22.017,-0.215,15.097,-5.715,30.218,-7.144,38.672,0.009,0.034,0.054,0.255,12
"Mid channel","MK",-17.058,39.76,-18.695,46.307,-24.041,51.819,-24.71,57,-7.588,35.037,0.006,0.032,-0.006,0.249,12
"Mid channel","LK",-29.637,40.289,-19.275,46.213,-32.304,53.76,-21.222,57.471,12.098,26.58,-0.013,0.022,-0.148,0.173,12
"Offshore","BB",-3.111,9.602,0.657,7.139,-0.407,13.403,2.591,11.483,5.17,18.524,-0.004,0.016,-0.043,0.098,12
"Offshore","UK",-0.779,6.624,-1.228,5.246,-3.137,11.099,-3.558,9.02,-0.402,11.438,0.001,0.011,0.001,0.075,12
"Offshore","MK",-5.937,11.873,-5.405,11.293,-6.268,18.253,-5.96,16.579,-3.333,9.065,0.002,0.009,-0.014,0.064,12
"Offshore","LK",-5.763,6.788,0.923,6.511,-8.493,14.637,-1.497,12.037,8.763,10.022,-0.008,0.009,-0.084,0.055,12
