"Zone","Sub_region","Tem_max","Tem_min","Tem_diff","Sal_max","Sal_min","Sal_diff","TA_max","TA_min","TA_diff","DIC_max","DIC_min","DIC_diff","pCO2_max","pCO2_min","pCO2_dif","pH_max","pH_min","pH_diff","Ara_max","Ara_min","Ara_diff","nTA_max","nTA_min","nTA_diff","nDIC_max","nDIC_min","nDIC_diff","n"
"Inshore","BB",31.371,22.608,8.763,36.629,34.606,2.023,2424.282,2268.148,156.134,2128.547,1925.903,202.644,597.109,317.716,279.393,8.126,7.914,0.213,4.23,3.171,1.059,2484.786,2242.173,242.613,2210.116,1904.264,305.852,12
"Inshore","UK",31.6,21.883,9.718,36.948,34.778,2.171,2450.937,2321.982,128.955,2169.945,1893.778,276.167,579.288,262.919,316.37,8.186,7.917,0.27,4.666,3.083,1.583,2468.497,2269.082,199.414,2188.816,1853.847,334.969,12
"Inshore","MK",31.462,22.446,9.016,37.08,34.707,2.373,2449.715,2238.314,211.401,2152.096,1899.019,253.077,520.973,288.792,232.182,8.152,7.94,0.212,4.496,3.331,1.165,2549.922,2190.182,359.739,2181.471,1844.795,336.676,12
"Inshore","LK",31.383,21.854,9.529,36.955,35.396,1.559,2420.967,2182.322,238.646,2106.138,1872.193,233.946,539.245,332.414,206.83,8.101,7.924,0.178,3.952,2.976,0.976,2459.842,2157.566,302.276,2135.43,1823.393,312.037,12
"Mid channel","BB",30.88,23.611,7.27,36.454,35.064,1.39,2394.107,2354.676,39.431,2079.061,2014.283,64.777,518.251,365.609,152.642,8.083,7.959,0.123,3.95,3.465,0.485,2429.683,2340.616,89.067,2127.918,1999.129,128.789,12
"Mid channel","UK",30.747,23.446,7.301,36.593,35.093,1.5,2400.692,2362.104,38.587,2076.518,2009.628,66.89,508.785,340.879,167.906,8.11,7.968,0.143,4.249,3.393,0.856,2433.424,2352.373,81.051,2109.441,1979.853,129.588,12
"Mid channel","MK",31.23,23.496,7.733,36.727,35.187,1.54,2422.796,2303.704,119.092,2110.166,1962.77,147.396,489.869,339.924,149.946,8.104,7.968,0.136,4.202,3.504,0.698,2431.495,2285.347,146.148,2103.559,1932.679,170.88,12
"Mid channel","LK",31.008,23.174,7.835,36.796,35.379,1.417,2419.35,2294.449,124.901,2095.145,1946.115,149.03,486.621,356.259,130.362,8.086,7.97,0.116,3.832,3.201,0.631,2435.228,2244.78,190.448,2107.895,1904.033,203.863,12
"Offshore","BB",30.692,23.866,6.825,36.461,35.145,1.316,2387.744,2362.063,25.68,2062.847,2035.986,26.861,482.869,363.205,119.663,8.087,7.978,0.109,3.86,3.654,0.206,2436.189,2343.64,92.549,2103.8,2020.109,83.692,12
"Offshore","UK",30.591,23.347,7.244,36.45,35.275,1.176,2393.346,2363.998,29.348,2066.947,2033.511,33.436,465.262,364.239,101.023,8.088,7.993,0.095,4.072,3.549,0.523,2425.173,2355.577,69.596,2081.206,2022.462,58.744,12
"Offshore","MK",30.5,22.951,7.549,36.481,35.22,1.26,2389.065,2344.36,44.705,2063.655,2015.805,47.85,462.43,361.072,101.358,8.092,7.993,0.099,4.04,3.593,0.447,2430.965,2346.464,84.501,2087.577,2002.603,84.974,12
"Offshore","LK",30.315,22.681,7.634,36.499,35.284,1.216,2386.766,2364.076,22.69,2068.634,2035.695,32.939,488.15,371.814,116.336,8.082,7.977,0.105,3.881,3.504,0.377,2412.749,2344.433,68.315,2082.863,2018.461,64.402,12
"Oceanic","UK",30.549,23.259,7.291,36.503,35.053,1.45,2411.385,2366.094,45.291,2068.119,2033.325,34.794,467.216,362.028,105.187,8.09,7.999,0.091,4.118,3.544,0.574,2440.406,2356.74,83.665,2092.678,2018.33,74.348,12
"Oceanic","MK",30.302,23.787,6.515,36.398,35.421,0.977,2392.035,2370.328,21.707,2059.927,2037.316,22.612,456.102,358.48,97.623,8.092,8.002,0.09,4.023,3.675,0.348,2424.227,2352.235,71.992,2079.586,2018.286,61.299,12
"Oceanic","LK",30.389,23.229,7.159,36.414,35.2,1.215,2386.778,2372.452,14.326,2060.543,2039.454,21.089,468.802,358.85,109.953,8.094,7.993,0.1,3.96,3.636,0.324,2433.115,2353.316,79.799,2086.024,2021.89,64.134,12
